NAME	FMISID	LPNN	WMO	LATITUDE	LONGITUDE	ELEVATION	GROUPS	STARTYEAR	ENDYEAR
Ahlainen Kirkonkylä	106206			61.68	21.68		Precipitation	1943	1946
Ahlainen Lampaluoto	106115			61.63	21.52		Precipitation	1941	1948
Akaa Kurisjärvi	106312			61.13	23.83		Precipitation	1941	1946
Akaa Toijala	106068			61.17	23.88		Precipitation	1942	1949
Alahärmä	105472			63.25	22.85		Precipitation	1924	1930
Alahärmä Kuoppala	101499	3114		63.23	22.65	43	Precipitation	1933	1971
Alahärmä Vuoskoski	101500	3115		63.27	22.71	35	Precipitation	1933	1981
Alahärmä Yli-Eko	101498	3113		63.2	22.7	50	Precipitation	1933	1979
Alajärvi keskusta	101511	3209		62.98	23.78	86	Precipitation	1966	1988
Alajärvi Kurejoki	105523			62.98	23.7		Precipitation	1927	1966
Alajärvi Lippo	101524	3305		62.79	24	160	Precipitation	1928	2013
Alajärvi Menkijärvi	105749			62.97	23.53		Precipitation	1942	1957
Alajärvi Möksy	105537			63.03	24.27		Precipitation	1942	1959
Alajärvi Möksy	101522	3303	5164	63.05	24.28	202	Weather	1957	2008
Alajärvi Möksy	101533	3314	2787	63.09	24.26	171	Weather	1996	
Alastaro Hanhijoki	105668			60.85	22.78		Precipitation	1935	1941
Alastaro Virttaa	101094	1131		60.95	22.65		Precipitation	1975	1980
Alatornio	106165			65.82	24.43		Precipitation	1948	1951
Alatornio Kiviranta	105672			65.83	24.17		Precipitation	1908	1943
Alavieska Kähtävä	101692			64.12	24.33		Precipitation	1933	1965
Alavus Autionmäki	101507	3205		62.55	23.65	115	Precipitation	1959	2009
Alavus Kansakoulu	106301			62.67	23.2		Precipitation	1925	1926
Alavus Kattelus	101306	2214		62.48	23.76	130	Precipitation	1961	2005
Alavus Kirkonkylä	106102			62.58	23.62		Precipitation	1939	1948
Alavus Niinimaa	101509	3207		62.63	23.41	110	Precipitation	1948	1998
Alavus Pollari	101505	3203		62.52	23.7	130	Precipitation	1967	2009
Alavus Rantatöysä	101508	3206		62.62	23.6	100	Precipitation	1960	1980
Alavus Salonkylä	101506	3204		62.53	23.76	145	Precipitation	1965	2009
Alavus Sulkavankylä	105763			62.45	23.57		Precipitation	1942	1966
Alavus Sulkavankylä	101305	2213		62.45	23.55	124	Precipitation	1942	
Alavus Taipale	106199			62.58	23.62		Precipitation	1930	1947
Anjalankoski	101209	1519		60.7	26.83	30	Precipitation	1968	1996
Anjalankoski Rautakorpi	101198	1508		60.77	26.76	43	Precipitation	1958	2008
Anjalankoski Sippola Haukkasuo	101201	1511		60.85	26.93	65	Precipitation	1946	1978
Anjalankoski Sippola Hirvelä	101226	1607		60.75	27.08	15	Precipitation	1911	2008
